customer_id,record_Number,customer_number,customer_name,customer_surname,customer_address,customer_zip_code,customer_national_id,customer_birth_date
01JAQ4XH5BSKY380S7KFHJ2773,1,90944e0c38747657c1b05d6f7fcf6045d4726dc1,1bd9a2cf942d94a3e8c729106238f7828a42fab4,3fd652a822c116aaba559b809412af539522a8cc,4585c40d58e7d8c0d5e468a03def490a34a86010,42083bf41bb272d5fb640a561d324ab26d3dfd8f,9e40553b7d2f82d151002f623cfe5c7c2e84cf7b,8/5/1951
01JAQ4XH5DTETSV362ZGM6NQSE,2,22edf7909e3ac5ee3321dd6d5fecd530adfc3a64,39f83830e1901d2bc29b2c4387381ec8bccc44a6,696958b8b661c4b94fc653130418b401d1f56a10,2b4dea4102fbd0097082fc4eee2f70326e8b5bb2,a6c47b88136e37adf14eb86b97c326df12f08ee2,82ca00074062f863c799ca7b4f12c0c861f499e0,5/9/2017
01JAQ4XH5EEZH81JK69BQYH8PX,3,6b20b5bb2d38533686fcb870396cc3b06568692f,c95c74eb360df45b2d281d8901c342cd3284dad1,4d6d10013ef7281403a6300bd1221cea3407019d,ebdfe4f9cfc693548023a28c55407239281c867d,940b3308c7002045289a1879823220e3e510e97b,274bfd5a3c0b909701b7e27ce15b466be231212e,5/29/1982
01JAQ4XH5GVF1R36TWE5K9VAJ1,4,cac7d438ec93659d53dacedf0f8b1018527decb1,9af996ab361345ec17561f06dfa92fe6b15b7431,f5f75d691c174cbaeb384051e7e20cffc21346c4,1f3d9dd15792f53da48d58f9aab66e82bf600c61,0a98610660ceafadc9caf1ecefe7a35466a28698,d3adc4bbbed1a608a41f5f159b8c2c817eed4362,9/5/1964
01JAQ4XH5HCQD4JY6QC9MJZP31,5,52075b215b551bef0c74090ffdcc61131418854f,7e6a5d690ea023965aaa7dd3e87a572b6e75132a,6a1d8eb2d509a48664c0c1a816273ec027438696,e959cd52abe525b0f988e23794f798097fde2d6c,815e17b0541123550fdeeebfdd0f540d271f41c0,af2eff22c31d5fd95d95f55fa2c3c6daa3c92777,3/25/1956
01JAQ4XH5J75JV7C91TCSNN2R9,6,c5ceadefbba07b815d2c16452f4d4b66dc88f9b0,9bfac139d61ba974cbecd8cc570c1ed63c9f4b4a,e6aa08f279fcc78370dcba8fa885a329f8206dd8,761e7666e440da277d902b117a2f20640dbc522b,003be8afefc7335417c899ab60e2dc76b1381c7a,4635b01bfa83cd2857005dd837e2de007cd0384b,2/22/1964
01JAQ4XH5KCJ66R9GNR7XM2R6P,7,8b9dfd39409fac449baf52c479bdd3a81b5af0a4,ff1768efd6ae3d0becf872708f53f0543af080b2,d994486304d4746072658cbf1e6ff76adc358fb9,098e8392dad31b1236539552125d5b98365c9534,8bf313726ff158254e76e8b5be21d2d16f6e077d,cf60616fbbc616cd09a22a794aa087c05772fa85,10/29/2010
01JAQ4XH5N4Y1RDFV99RQ7EPSM,8,3c2ff41866a22f66ad050eaba103400a78c4b94d,ec6d866e4175c0422930812f0c683693425e444d,ef75ad988304458b4f4f5dd630f09caa2f63688a,e186adcb696122412a76ca18fb237d1975941017,1d4c2e99bafa6cc91b496eeed8b6cb30f8d70dc2,2088d4e310cb68b12395198fe45dd39399ec2775,3/23/1973
01JAQ4XH5PDX6RYNHWKAKVWECY,9,00ba5f1abcfb1e5d6823f2b5ef02dc8deb8cee54,3f6a4a0bce67a9760b958264bc3c270a4ce2f076,d818263f4e931b56804fed1de0c34668c85ac769,5155495b21eeb4c29afdd05d44fe600de36f7ac2,f8c4731e3770ed6fef81c3da2a7c35351a20cbdf,af5d2ef118af8c21d072b51c900804361927bf1c,8/13/1988
01JAQ4XH5QQS8YX2GQPT3EEV52,10,e0fd2c0bd71cc2a760b92b642b2a574dd7319fce,dac8ae763b967ba34ffe0fe2c7c9b75ea9dced72,688f2bd967b07a3319fe2ccae8729c1107d08d80,ee2f7373cdd8dfc7df5b6d030d1a84bf298a8362,023a1571a5119d5724d53046dd7877f5a5602f94,78ff62f3e89362f8466bc4ddf798d71b3372eff2,10/21/1956
